year,country,quarter,education_expenditure.total_gdp_percentage,education_expenditure.per_student_primary,education_expenditure.per_student_secondary,education_expenditure.per_student_tertiary,education_expenditure.research_development,education_expenditure.infrastructure_investment,education_expenditure.teacher_training_budget,education_expenditure.digital_resources_budget,education_expenditure.special_education_funding,education_participation.enrollment_rate_primary,education_participation.enrollment_rate_secondary,education_participation.enrollment_rate_tertiary,education_participation.dropout_rate,education_participation.international_student_percentage,education_participation.special_needs_student_integration,education_participation.adult_education_participation,education_participation.vocational_training_enrollment,education_quality.teacher_qualification_index,education_quality.average_class_size,education_quality.teaching_hours_yearly,education_quality.digital_learning_percentage,education_quality.student_satisfaction_score,education_quality.graduate_employment_rate,education_quality.research_publication_index,education_quality.international_ranking_score,education_resources.student_teacher_ratio_primary,education_resources.student_teacher_ratio_secondary,education_resources.teacher_salary_index,education_resources.digital_resources_investment,education_resources.classroom_technology_level,education_resources.library_resources_per_student,education_resources.laboratory_equipment_index,education_resources.sports_facilities_rating,last_updated,education_expenditure.total_gdp_percentage_normalized,education_expenditure.per_student_primary_normalized,education_expenditure.per_student_secondary_normalized,education_expenditure.per_student_tertiary_normalized,education_expenditure.research_development_normalized,education_resources.student_teacher_ratio_primary_normalized,education_resources.student_teacher_ratio_secondary_normalized,education_resources.teacher_salary_index_normalized,education_resources.digital_resources_investment_normalized,education_participation.enrollment_rate_primary_normalized,education_participation.enrollment_rate_secondary_normalized,education_participation.enrollment_rate_tertiary_normalized,education_participation.dropout_rate_normalized,education_quality.teacher_qualification_index_normalized,education_quality.average_class_size_normalized,education_quality.teaching_hours_yearly_normalized,education_quality.digital_learning_percentage_normalized,time_period,total_investment_per_student,overall_quality_score
1990,DE,Q1,5.29,8633,8177,14097,2.38,1222,707,831,801,97.9,96.3,63.5,10.2,19.2,94.4,26.0,40.0,0.73,26,960,50,3.5,94.5,0.78,60,15.5,13.6,137,796,3.3,34,0.76,3.2,2024-12-14 14:21:56.939000,0.43,0.5443333333333333,0.04426106526631658,0.8203125,0.5866666666666666,0.4375,0.72,0.74,0.592,0.3000000000000019,0.7874999999999996,0.54,0.5199999999999999,0.1200000000000001,0.8,0.8,0.6666666666666666,1990-Q1,10302.333333333334,99.8247222222222
1990,GR,Q1,4.06,8452,10288,14891,2.68,1520,502,857,1138,97.3,96.0,54.8,8.8,19.7,84.4,38.4,27.3,0.78,22,912,59,4.2,86.1,1.05,97,16.8,14.1,134,861,4.5,24,1.0,5.0,2024-12-14 14:21:56.940000,0.01999999999999987,0.484,0.5721430357589398,0.9793669871794872,0.7866666666666667,0.6000000000000001,0.82,0.68,0.722,0.09999999999999905,0.75,0.1919999999999999,0.38000000000000006,0.3200000000000003,0.4,0.56,0.9666666666666667,1990-Q1,11210.333333333334,98.69805555555554
1990,HU,Q1,4.17,8409,10179,10789,2.46,1660,776,495,862,99.9,95.2,55.8,5.4,11.7,87.0,27.0,39.9,0.81,26,905,37,3.7,93.8,0.89,51,12.8,14.3,106,969,3.5,99,0.81,3.6,2024-12-14 14:21:56.941000,0.05666666666666664,0.4696666666666667,0.5448862215553888,0.15765224358974358,0.64,0.10000000000000009,0.8600000000000001,0.12,0.938,0.9666666666666686,0.6500000000000004,0.23199999999999987,0.040000000000000036,0.4400000000000004,0.8,0.525,0.23333333333333334,1990-Q1,9792.333333333334,93.34986111111112
1990,IE,Q1,4.27,9425,11038,11274,2.67,1887,756,960,636,98.4,93.2,61.7,7.5,6.1,74.9,37.5,49.3,0.91,28,819,55,3.3,85.4,1.29,51,17.2,10.6,120,562,2.4,67,0.88,3.3,2024-12-14 14:21:56.941000,0.08999999999999986,0.8083333333333333,0.7596899224806202,0.2548076923076923,0.7799999999999999,0.6499999999999999,0.11999999999999993,0.4,0.124,0.46666666666666856,0.40000000000000036,0.46800000000000014,0.25,0.8400000000000003,1.0,0.095,0.8333333333333334,1990-Q1,10579.0,87.22236111111108
1990,IT,Q1,6.86,8172,11338,12297,2.37,1423,407,851,1091,97.9,97.9,70.4,9.7,19.3,71.1,36.1,21.1,0.75,27,967,46,4.5,73.0,1.39,69,19.1,12.9,143,826,2.4,56,0.51,3.5,2024-12-14 14:21:56.942000,0.9533333333333335,0.39066666666666666,0.8347086771692923,0.4597355769230769,0.5800000000000001,0.8875000000000002,0.5800000000000001,0.86,0.652,0.3000000000000019,0.9875000000000007,0.8160000000000003,0.4699999999999999,0.20000000000000018,0.9,0.835,0.5333333333333333,1990-Q1,10602.333333333334,99.2590277777778
1990,LV,Q1,6.37,9981,10370,10018,2.58,999,435,704,945,99.6,96.0,61.3,8.9,5.9,71.9,35.6,31.3,0.7,21,819,51,3.8,78.0,1.85,76,17.1,13.0,132,674,4.3,77,0.67,2.4,2024-12-14 14:21:56.943000,0.79,0.9936666666666667,0.5926481620405101,0.003205128205128205,0.7200000000000001,0.6375000000000002,0.6,0.64,0.348,0.8666666666666648,0.75,0.4519999999999999,0.39,0.0,0.3,0.095,0.7,1990-Q1,10123.0,87.70375
1990,LT,Q1,5.54,9772,9614,10389,2.84,1260,697,415,901,97.0,91.3,57.0,7.6,9.8,81.7,39.3,31.5,0.77,28,896,40,4.4,60.1,1.9,79,19.7,11.2,131,971,4.8,36,0.9,2.4,2024-12-14 14:21:56.943000,0.5133333333333333,0.924,0.4036009002250563,0.07752403846153846,0.8933333333333332,0.9624999999999999,0.23999999999999985,0.62,0.942,0.0,0.16249999999999964,0.28,0.25999999999999995,0.28000000000000025,1.0,0.48,0.3333333333333333,1990-Q1,9925.0,92.68861111111111
1990,LU,Q1,5.3,7051,10914,14873,2.33,1257,299,426,810,97.4,96.3,50.3,14.7,14.7,74.7,33.6,40.6,0.73,27,943,32,4.6,91.6,1.79,88,16.7,12.1,112,751,4.5,38,1.0,3.6,2024-12-14 14:21:56.944000,0.4333333333333333,0.017,0.7286821705426356,0.975761217948718,0.5533333333333333,0.5874999999999999,0.41999999999999993,0.24,0.502,0.13333333333333522,0.7874999999999996,0.011999999999999886,0.97,0.1200000000000001,0.9,0.715,0.06666666666666667,1990-Q1,10946.0,99.21013888888888
1990,MT,Q1,6.03,8185,9567,10093,2.49,1093,506,317,895,97.8,91.6,55.9,9.2,6.2,79.0,30.3,28.3,0.93,28,981,45,3.3,68.4,1.18,68,15.8,13.3,128,736,1.4,100,0.65,4.7,2024-12-14 14:21:56.944000,0.6766666666666667,0.395,0.39184796199049765,0.018229166666666668,0.6600000000000001,0.4750000000000001,0.6600000000000001,0.56,0.472,0.2666666666666657,0.1999999999999993,0.23599999999999993,0.41999999999999993,0.9200000000000004,1.0,0.905,0.5,1990-Q1,9281.666666666666,99.92791666666666
1990,NL,Q1,4.72,9935,10199,14386,2.71,1781,637,518,594,97.6,93.7,55.5,13.2,15.8,92.0,26.9,37.0,0.81,24,887,33,3.6,91.4,0.77,94,14.3,10.1,103,842,1.7,87,0.63,4.8,2024-12-14 14:21:56.945000,0.2399999999999999,0.9783333333333334,0.5498874718679669,0.8782051282051282,0.8066666666666666,0.2875000000000001,0.019999999999999928,0.06,0.684,0.1999999999999981,0.46250000000000036,0.22,0.82,0.4400000000000004,0.6,0.435,0.1,1990-Q1,11506.666666666666,94.67958333333331
1990,PL,Q1,6.92,9350,9880,14601,2.99,810,473,995,1160,98.1,92.8,74.0,12.1,15.8,85.9,12.6,22.4,0.76,24,807,36,3.9,68.8,0.63,88,12.3,13.1,118,605,3.6,23,0.8,1.1,2024-12-14 14:21:56.946000,0.9733333333333333,0.7833333333333333,0.4701175293823456,0.9212740384615384,0.9933333333333335,0.03750000000000009,0.6199999999999999,0.36,0.21,0.36666666666666475,0.34999999999999964,0.96,0.71,0.2400000000000002,0.6,0.035,0.2,1990-Q1,11277.0,85.84708333333333
1990,PT,Q1,5.47,8185,10980,12325,2.66,585,651,976,670,98.8,96.0,63.9,14.1,7.5,75.2,35.9,22.5,0.74,21,816,32,3.2,67.9,1.07,55,12.4,13.0,120,699,4.1,50,0.6,1.2,2024-12-14 14:21:56.947000,0.48999999999999994,0.395,0.7451862965741435,0.46534455128205127,0.7733333333333334,0.050000000000000044,0.6,0.4,0.398,0.5999999999999991,0.75,0.5559999999999999,0.9099999999999999,0.16000000000000014,0.3,0.08,0.06666666666666667,1990-Q1,10496.666666666666,83.1263888888889
1990,RO,Q1,4.94,7912,11401,13067,1.95,1436,354,589,955,98.6,96.5,65.1,12.3,3.9,73.4,11.9,36.2,0.79,27,896,47,3.3,83.7,0.68,77,18.2,13.3,122,658,2.9,75,0.88,3.6,2024-12-14 14:21:56.947000,0.31333333333333346,0.304,0.8504626156539135,0.6139823717948718,0.3,0.7749999999999999,0.6600000000000001,0.44,0.316,0.5333333333333314,0.8125,0.6039999999999998,0.7300000000000001,0.3600000000000003,0.9,0.48,0.5666666666666667,1990-Q1,10793.333333333334,94.81472222222222
1990,SK,Q1,5.64,8699,11913,12921,2.71,1869,681,665,487,99.1,92.1,51.5,12.1,10.3,91.7,11.6,31.3,0.79,22,857,30,4.6,86.0,1.0,51,16.8,12.4,119,560,4.2,73,0.96,1.5,2024-12-14 14:21:56.949000,0.5466666666666665,0.5663333333333334,0.978494623655914,0.5847355769230769,0.8066666666666666,0.6000000000000001,0.4800000000000001,0.38,0.12,0.6999999999999981,0.2624999999999993,0.06,0.71,0.3600000000000003,0.4,0.285,0.0,1990-Q1,11177.666666666666,87.78625
1990,SI,Q1,4.55,8626,8083,13521,1.98,1461,555,567,738,97.2,96.7,52.6,10.1,16.8,89.2,31.6,39.3,0.72,24,803,44,3.3,71.3,1.21,87,12.2,10.5,101,540,4.7,62,0.73,1.8,2024-12-14 14:21:56.949000,0.18333333333333326,0.542,0.0207551887971993,0.7049278846153846,0.32,0.02499999999999991,0.1,0.02,0.08,0.06666666666666761,0.8375000000000004,0.10400000000000005,0.51,0.08000000000000007,0.6,0.015,0.4666666666666667,1990-Q1,10076.666666666666,86.30763888888889
1990,ES,Q1,6.89,7387,11352,14009,2.48,845,536,391,774,99.3,97.4,56.6,14.0,3.4,89.7,24.5,33.2,0.72,22,845,45,3.4,77.6,1.95,89,18.3,10.2,146,758,2.6,92,0.63,2.0,2024-12-14 14:21:56.950000,0.9633333333333333,0.129,0.838209552388097,0.8026842948717948,0.6533333333333333,0.7875000000000001,0.039999999999999855,0.92,0.516,0.7666666666666657,0.9250000000000007,0.26400000000000007,0.9,0.08000000000000007,0.4,0.225,0.5,1990-Q1,10916.0,90.48958333333333
1990,SE,Q1,4.22,9985,11539,10995,1.71,1606,537,960,448,99.3,90.3,58.9,14.5,12.1,80.1,10.1,31.8,0.79,19,882,56,4.6,74.0,1.45,81,19.9,11.5,102,563,2.9,42,0.57,1.5,2024-12-14 14:21:56.950000,0.07333333333333325,0.995,0.8849712428107027,0.19891826923076922,0.13999999999999999,0.9874999999999998,0.3,0.04,0.126,0.7666666666666657,0.037499999999999645,0.3559999999999999,0.95,0.3600000000000003,0.1,0.41,0.8666666666666667,1990-Q1,10839.666666666666,93.38138888888886
1990,AT,Q2,6.84,7317,8298,10498,2.42,1170,572,454,1136,98.2,93.4,62.1,13.6,18.4,71.7,36.0,44.8,0.79,25,821,36,4.1,62.8,1.9,70,17.9,10.9,143,745,2.8,24,0.97,2.6,2024-12-14 14:21:56.951000,0.9466666666666667,0.10566666666666667,0.07451862965741435,0.09935897435897435,0.6133333333333333,0.7374999999999998,0.18000000000000008,0.86,0.49,0.40000000000000097,0.4250000000000007,0.48400000000000004,0.86,0.3600000000000003,0.7,0.105,0.2,1990-Q2,8704.333333333334,85.24625
1990,BE,Q2,5.4,7098,11734,12737,1.56,1366,718,455,420,98.5,91.3,70.4,10.8,19.8,85.5,11.7,29.4,0.78,21,936,38,3.6,89.1,1.07,72,17.6,14.8,148,520,1.4,52,0.86,2.8,2024-12-14 14:21:56.952000,0.4666666666666668,0.03266666666666666,0.9337334333583396,0.5478766025641025,0.040000000000000036,0.7000000000000002,0.9600000000000002,0.96,0.04,0.5,0.16249999999999964,0.8160000000000003,0.5800000000000001,0.3200000000000003,0.3,0.68,0.26666666666666666,1990-Q2,10523.0,96.92638888888888
1990,BG,Q2,6.54,8407,11607,13252,2.14,1135,364,361,475,98.3,97.9,68.3,12.4,17.1,77.8,29.2,36.1,0.71,24,871,45,4.7,88.1,0.75,91,14.8,10.8,102,536,4.9,100,0.53,1.1,2024-12-14 14:21:56.953000,0.8466666666666667,0.469,0.9019754938734683,0.6510416666666666,0.42666666666666675,0.3500000000000001,0.16000000000000014,0.04,0.072,0.4333333333333324,0.9875000000000007,0.7319999999999999,0.74,0.040000000000000036,0.6,0.355,0.5,1990-Q2,11088.666666666666,93.89625
1990,HR,Q2,5.66,8534,10626,13399,2.29,1560,638,699,649,97.7,96.7,70.1,14.6,15.7,81.9,24.1,30.4,0.73,26,825,46,3.6,89.2,1.38,72,18.4,14.3,127,734,4.5,80,0.92,4.6,2024-12-14 14:21:56.954000,0.5533333333333333,0.5113333333333333,0.6566641660415103,0.680488782051282,0.5266666666666667,0.7999999999999998,0.8600000000000001,0.54,0.468,0.23333333333333428,0.8375000000000004,0.8039999999999998,0.96,0.1200000000000001,0.8,0.125,0.5333333333333333,1990-Q2,10853.0,88.79069444444444
1990,CY,Q2,6.98,9975,10900,12475,1.98,1060,283,831,961,99.9,91.4,70.5,6.4,10.5,77.7,37.0,29.9,0.93,22,862,39,3.5,75.7,1.97,80,19.4,12.4,111,932,1.9,28,0.89,1.6,2024-12-14 14:21:56.954000,0.9933333333333335,0.9916666666666667,0.7251812953238309,0.4953926282051282,0.32,0.9249999999999998,0.4800000000000001,0.22,0.864,0.9666666666666686,0.1750000000000007,0.82,0.14000000000000004,0.9200000000000004,0.4,0.31,0.3,1990-Q2,11116.666666666666,90.58583333333333
1990,CZ,Q2,6.73,8163,10339,12506,1.75,714,411,646,1180,99.1,96.2,69.8,13.9,6.0,73.5,39.0,27.6,0.93,27,953,31,4.5,80.4,0.88,57,17.5,14.5,141,995,4.0,33,0.52,4.6,2024-12-14 14:21:56.955000,0.9100000000000001,0.38766666666666666,0.584896224056014,0.5016025641025641,0.16666666666666666,0.6875,0.9,0.82,0.99,0.6999999999999981,0.7750000000000004,0.7919999999999999,0.89,0.9200000000000004,0.9,0.765,0.03333333333333333,1990-Q2,10336.0,96.4440277777778
1990,DK,Q2,4.46,8725,8691,12703,1.78,675,578,621,518,97.6,91.0,65.4,5.1,13.3,81.4,14.2,26.8,0.75,26,987,48,4.9,78.5,1.32,73,13.8,12.3,124,884,4.8,89,0.61,3.2,2024-12-14 14:21:56.956000,0.15333333333333332,0.575,0.1727931982995749,0.5410657051282052,0.18666666666666668,0.2250000000000001,0.46000000000000013,0.48,0.768,0.1999999999999981,0.125,0.6160000000000002,0.009999999999999964,0.20000000000000018,0.8,0.935,0.6,1990-Q2,10039.666666666666,101.83375
1990,EE,Q2,6.5,8428,8481,11470,2.35,691,436,795,946,98.4,97.4,61.9,14.7,9.4,81.0,21.7,39.2,0.9,27,986,43,3.4,83.6,1.51,95,14.0,15.0,101,740,5.0,37,0.76,2.9,2024-12-14 14:21:56.957000,0.8333333333333334,0.476,0.12028007001750438,0.29407051282051283,0.5666666666666668,0.25,1.0,0.02,0.48,0.46666666666666856,0.9250000000000007,0.4759999999999999,0.97,0.8000000000000003,0.9,0.93,0.43333333333333335,1990-Q2,9459.666666666666,103.6227777777778
1990,FI,Q2,5.68,7457,8447,14688,2.63,718,731,675,708,99.8,94.2,67.4,9.6,13.2,74.3,31.4,47.1,0.8,21,846,58,3.3,81.1,1.21,97,19.4,13.4,131,517,5.0,36,0.74,1.6,2024-12-14 14:21:56.958000,0.5599999999999999,0.15233333333333332,0.11177794448612154,0.9387019230769231,0.7533333333333333,0.9249999999999998,0.68,0.62,0.034,0.9333333333333323,0.5250000000000004,0.6960000000000002,0.45999999999999996,0.40000000000000036,0.3,0.23,0.9333333333333333,1990-Q2,10197.333333333334,92.52277777777778
1990,FR,Q2,5.52,7243,11751,13620,2.05,1706,418,407,410,99.1,92.2,55.1,8.0,19.1,73.2,24.2,22.5,0.84,24,913,36,4.4,86.4,1.52,74,14.3,14.3,101,936,2.4,55,0.81,4.3,2024-12-14 14:21:56.959000,0.5066666666666665,0.081,0.937984496124031,0.7247596153846154,0.36666666666666653,0.2875000000000001,0.8600000000000001,0.02,0.872,0.6999999999999981,0.27500000000000036,0.20400000000000007,0.3,0.56,0.6,0.565,0.2,1990-Q2,10871.333333333334,95.17375
1990,DE,Q2,4.98,9379,8088,10531,1.83,651,711,534,528,97.8,93.7,58.1,9.4,12.1,76.6,16.0,30.3,0.81,26,893,53,3.1,66.1,1.96,70,13.5,12.5,103,983,4.5,47,0.82,3.7,2024-12-14 14:21:56.960000,0.3266666666666668,0.793,0.022005501375343836,0.10596955128205128,0.22000000000000006,0.1875,0.5,0.06,0.966,0.2666666666666657,0.46250000000000036,0.32400000000000007,0.44000000000000006,0.4400000000000004,0.8,0.465,0.7666666666666667,1990-Q2,9332.666666666666,93.03680555555555
1990,GR,Q2,6.43,9689,9039,14975,1.58,811,395,826,907,97.3,93.7,59.4,8.5,12.9,92.6,15.5,26.3,0.77,23,817,44,3.5,60.9,1.96,51,19.5,12.9,104,944,2.8,89,0.57,3.7,2024-12-14 14:21:56.961000,0.8099999999999999,0.8963333333333333,0.2598149537384346,0.9961939102564102,0.05333333333333338,0.9375,0.5800000000000001,0.08,0.888,0.09999999999999905,0.46250000000000036,0.37599999999999995,0.35,0.28000000000000025,0.5,0.085,0.4666666666666667,1990-Q2,11234.333333333334,83.62180555555555
1990,HU,Q2,6.11,7110,11624,14347,2.92,1334,363,846,526,97.3,92.1,62.6,10.4,9.4,75.2,22.6,32.8,0.73,20,923,58,4.9,88.7,0.61,97,16.4,11.0,144,882,4.8,42,0.57,4.3,2024-12-14 14:21:56.961000,0.7033333333333335,0.03666666666666667,0.9062265566391597,0.8703926282051282,0.9466666666666667,0.5499999999999998,0.2,0.88,0.764,0.09999999999999905,0.2624999999999993,0.504,0.54,0.1200000000000001,0.2,0.615,0.9333333333333333,1990-Q2,11027.0,99.5673611111111
1990,IE,Q2,5.32,8347,9447,12631,2.01,1940,358,983,579,98.7,97.9,55.8,14.6,18.8,71.4,35.8,32.3,0.91,28,979,52,3.6,77.5,0.95,59,18.0,14.3,141,678,5.0,26,0.64,1.5,2024-12-14 14:21:56.962000,0.4400000000000001,0.449,0.36184046011502874,0.5266426282051282,0.33999999999999986,0.75,0.8600000000000001,0.82,0.356,0.5666666666666677,0.9875000000000007,0.23199999999999987,0.96,0.8400000000000003,1.0,0.895,0.7333333333333333,1990-Q2,10141.666666666666,100.36902777777776
1990,IT,Q2,5.89,7813,10176,13361,2.19,870,335,707,1059,97.5,95.8,65.8,10.1,8.6,97.4,36.0,22.0,0.94,21,822,31,4.1,82.5,1.59,97,18.6,11.1,105,591,3.4,45,0.79,2.7,2024-12-14 14:21:56.962000,0.6299999999999999,0.271,0.5441360340085021,0.6728766025641025,0.45999999999999996,0.8250000000000002,0.21999999999999992,0.1,0.182,0.16666666666666666,0.7249999999999996,0.6319999999999999,0.51,0.96,0.3,0.11,0.03333333333333333,1990-Q2,10450.0,88.46111111111111
1990,LV,Q2,4.2,8531,11720,14201,2.22,1190,251,586,709,97.1,95.5,58.2,10.3,8.4,99.4,29.1,38.9,0.71,21,831,60,3.2,83.0,1.18,62,16.3,12.5,117,893,1.7,37,0.67,3.6,2024-12-14 14:21:56.963000,0.06666666666666672,0.5103333333333333,0.9302325581395349,0.8411458333333334,0.48000000000000015,0.5375000000000001,0.5,0.34,0.786,0.03333333333333144,0.6875,0.3280000000000001,0.53,0.040000000000000036,0.3,0.155,1.0,1990-Q2,11484.0,88.63208333333334
1990,LT,Q2,6.42,9810,11592,11691,2.79,1552,347,315,1036,97.3,95.2,52.8,11.5,18.0,70.0,31.6,44.4,0.82,26,885,38,3.2,93.7,0.73,92,13.1,14.2,123,715,3.9,84,0.79,2.7,2024-12-14 14:21:56.963000,0.8066666666666666,0.9366666666666666,0.8982245561390347,0.33834134615384615,0.86,0.13749999999999996,0.8399999999999999,0.46,0.43,0.09999999999999905,0.6500000000000004,0.11199999999999989,0.65,0.48,0.8,0.425,0.26666666666666666,1990-Q2,11031.0,95.11847222222222
